一	j ɐ t
移位	j i: w ɐi
移到	j i: t ou
移居	j i: k ɵy
移送	j i: s ʊ ŋ
移動	j i: t ʊ ŋ
移植	j i: t s ɪ k
移開	j i: h ɔ:i
窒息	t s ɐ t s ɪ k
窒悶	t s ɐ t m u: n
窒礙	t s ɐ t ŋ ɔ:i
竟敢	k ɪ ŋ k ɐ m
竟然	k ɪ ŋ j i: n
章法	t s œ: ŋ f a: t
章魚	t s œ: ŋ j y:
章程	t s œ: ŋ t sʰ ɪ ŋ
章節	t s œ: ŋ t s i: t
笛子	t ɛ: k t s i:
笛聲	t ɛ: k s ɛ: ŋ
符合	f u: h ɐ p
符咒	f u: t s ɐu
符號	f u: h ou
笨人	p ɐ n j ɐ n
笨拙	p ɐ n t s y: t
笨重	p ɐ n t s ʊ ŋ
笨蛋	p ɐ n t a: n
笨賊	p ɐ n t sʰ a: k
第一	t ɐi j ɐ t
第二	t ɐi j i:
第五	t ɐi ŋ
粒子	n ɐ p t s i:
粒狀	n ɐ p t s ɔ: ŋ
粗人	t sʰ ou j ɐ n
粗大	t sʰ ou t a:i
粗布	t sʰ ou p ou
粗劣	t sʰ ou l y: t
粗壯	t sʰ ou t s ɔ: ŋ
粗沙	t sʰ ou s a:
粗俗	t sʰ ou t s ʊ k
粗活	t sʰ ou w u: t
粗重	t sʰ ou t sʰ ʊ ŋ
粗淺	t sʰ ou t sʰ i: n
粗率	t sʰ ou s ɵ t
粗略	t sʰ ou l œ: k
粗疏	t sʰ ou s ɔ:
粗細	t sʰ ou s ɐi
粗野	t sʰ ou j ɛ:
粗話	t sʰ ou w a:
粗豪	t sʰ ou h ou
粗鄙	t sʰ ou pʰ ei
粗暴	t sʰ ou p ou
粗線	t sʰ ou s i: n
粗魯	t sʰ ou l ou
粗糙	t sʰ ou t sʰ ou
粗獷	t sʰ ou k w ɔ: ŋ
粗鹽	t sʰ ou j i: m
粘土	n i: m tʰ ou
紮根	t s a: t k ɐ n
紮起	t s a: t h ei
紮實	t s a: t s ɐ t
紮緊	t s a: t k ɐ n
紮營	t s a: t j ɪ ŋ
累及	l ɵy kʰ ɐ p
累犯	l ɵy f a: n
累死	l ɵy s ei
累計	l ɵy k ɐi
累進	l ɵy t s ɵ n
累積	l ɵy t s ɪ k
累贅	l ɵy t s ɵy
累壞	l ɵy w a:i
細小	s ɐi s i:u
細分	s ɐi f ɐ n
細心	s ɐi s ɐ m
細末	s ɐi m u: t
細沙	s ɐi s a:
細則	s ɐi t s ɐ k
細看	s ɐi h ɔ: n
細胞	s ɐi p a:u
細紋	s ɐi m ɐ n
細密	s ɐi m ɐ t
細瓷	s ɐi t sʰ i:
細菌	s ɐi kʰ w ɐ n
細微	s ɐi m ei
細想	s ɐi s œ: ŋ
細碎	s ɐi s ɵy
細節	s ɐi t s i: t
細嫩	s ɐi l y: n
細說	s ɐi s y: t
細緻	s ɐi t s i:
細膩	s ɐi l ei
細聲	s ɐi s ɛ: ŋ
紳士	s ɐ n s i:
紹酒	s i:u t s ɐu
終日	t s ʊ ŋ j ɐ t
終止	t s ʊ ŋ t s i:
終生	t s ʊ ŋ s ɐ ŋ
終年	t s ʊ ŋ n i: n
終老	t s ʊ ŋ l ou
終局	t s ʊ ŋ k ʊ k
終究	t s ʊ ŋ k ɐu
終身	t s ʊ ŋ s ɐ n
終於	t s ʊ ŋ j y:
終站	t s ʊ ŋ t s a: m
終結	t s ʊ ŋ k i: t
終須	t s ʊ ŋ s ɵy
終極	t s ʊ ŋ k ɪ k
終審	t s ʊ ŋ s ɐ m
終點	t s ʊ ŋ t i: m
終歸	t s ʊ ŋ k w ɐi
組件	t s ou k i: n
組合	t s ou h ɐ p
組成	t s ou s ɪ ŋ
組曲	t s ou kʰ ʊ k
組長	t s ou t s œ: ŋ
組員	t s ou j y: n
組詞	t s ou t sʰ i:
組裝	t s ou t s ɔ: ŋ
組閣	t s ou k ɔ: k
組織	t s ou t s ɪ k
絆住	p u: n t s y:
絆倒	p u: n t ou
絆腳	p u: n k œ: k
統一	tʰ ʊ ŋ j ɐ t
統合	tʰ ʊ ŋ h ɐ p
統兵	tʰ ʊ ŋ p ɪ ŋ
統制	tʰ ʊ ŋ t s ɐi
統治	tʰ ʊ ŋ t s i:
統帥	tʰ ʊ ŋ s ɵy
統計	tʰ ʊ ŋ k ɐi
統稱	tʰ ʊ ŋ t sʰ ɪ ŋ
統領	tʰ ʊ ŋ l ɪ ŋ
統戰	tʰ ʊ ŋ t s i: n
統轄	tʰ ʊ ŋ h ɐ t
統籌	tʰ ʊ ŋ t sʰ ɐu
統屬	tʰ ʊ ŋ s ʊ k
羚羊	l ɪ ŋ j œ: ŋ
羞死	s ɐu s ei
羞怯	s ɐu h i: p
羞恥	s ɐu t sʰ i:
羞辱	s ɐu j ʊ k
羞惡	s ɐu ŋ ɔ: k
羞愧	s ɐu kʰ w ɐi
羞澀	s ɐu s ɐ p
翌日	j ɪ k j ɐ t
翌年	j ɪ k n i: n
翌晨	j ɪ k s ɐ n
習作	t s a: p t s ɔ: k
習性	t s a: p s ɪ ŋ
習俗	t s a: p t s ʊ k
習慣	t s a: p k w a: n
習題	t s a: p tʰ ɐi
習藝	t s a: p ɐi
聆訊	l ɪ ŋ s ɵ n
聆聽	l ɪ ŋ tʰ ɛ: ŋ
聊天	l i:u tʰ i: n
脖子	p u: tt s i:
脫下	tʰ y: t h a:
脫手	tʰ y: t s ɐu
脫毛	tʰ y: t m ou
脫水	tʰ y: t s ɵy
脫去	tʰ y: t h ɵy
脫皮	tʰ y: t pʰ ei
脫光	tʰ y: t k w ɔ: ŋ
脫臼	tʰ y: t kʰ ɐu
脫色	tʰ y: t s ɪ k
脫衣	tʰ y: t j i:
脫身	tʰ y: t s ɐ n
脫俗	tʰ y: tt s ʊ k
脫軌	tʰ y: t k w ɐi
脫脂	tʰ y: tt s i:
脫掉	tʰ y: tt ɛ:u
脫帽	tʰ y: t m ou
脫殼	tʰ y: t h ɔ: k
脫節	tʰ y: tt s i: t
脫罪	tʰ y: tt s ɵy
脫落	tʰ y: t l ɔ: k
脫鞋	tʰ y: t h a:i
脫髮	tʰ y: t f a: t
脫險	tʰ y: t h i: m
脫離	tʰ y: t l ei
脫籍	tʰ y: tt s ɪ k
舵手	tʰ ɔ: s ɐu
舵輪	tʰ ɔ: l ɵ n
船工	s y: n k ʊ ŋ
船夫	s y: n f u:
船戶	s y: n w u:
船主	s y: n t s y:
船伕	s y: n f ʊ k
船位	s y: n w ɐi
船尾	s y: n m ei
船身	s y: n s ɐ n
船底	s y: n t ɐi
船長	s y: n t s œ: ŋ
船員	s y: n j y: n
船家	s y: n k a:
船隻	s y: n t s ɛ: k
船務	s y: n m ou
船埠	s y: n f ɐu
船票	s y: n pʰ i:u
船舶	s y: n p ɔ: k
船期	s y: n kʰ ei
船隊	s y: n t ɵy
船塢	s y: n w u:
船運	s y: n w ɐ n
船閘	s y: n t s a: p
船廠	s y: n t sʰ ɔ: ŋ
船槳	s y: n t s œ: ŋ
船艙	s y: n t sʰ ɔ: ŋ
船錢	s y: n t sʰ i: n
船頭	s y: n tʰ ɐu
船纜	s y: n l a: m
荷包	h ɔ: p a:u
荷花	h ɔ: f a:
荷塘	h ɔ: tʰ ɔ: ŋ
荷葉	h ɔ: j i: p
荼毒	tʰ ou t ʊ k
莊主	t s ɔ: ŋ t s y:
莊重	t s ɔ: ŋ t s ʊ ŋ
莊家	t s ɔ: ŋ k a:
莊園	t s ɔ: ŋ j y: n
莊嚴	t s ɔ: ŋ j i: m
莧菜	j i: n t sʰ ɔ:i
莫非	m ɔ: k f ei
莫說	m ɔ: k s y: t
莽夫	m ɔ: ŋ f u:
莽漢	m ɔ: ŋ h ɔ: n
莽撞	m ɔ: ŋ t s ɔ: ŋ
處女	t sʰ y: l ɵy
處分	t sʰ y: f ɐ n
處方	t sʰ y: f ɔ: ŋ
處世	t sʰ y: s ɐi
處刑	t sʰ y: j ɪ ŋ
處死	t sʰ y: s ei
處決	t sʰ y: kʰ y: t
處事	t sʰ y: s i:
處所	t sʰ y: s ɔ:
處於	t sʰ y: j y:
處長	t sʰ y: t s œ: ŋ
處理	t sʰ y: l ei
處處	t sʰ y: t sʰ y:
處置	t sʰ y: t s i:
處境	t sʰ y: k ɪ ŋ
處罰	t sʰ y: f ɐ t
蚯蚓	j ɐu j ɐ n
蚱蜢	t s a: m a: ŋ
蛀牙	t s y:a:
蛀牙	t s y: ŋ a:
蛀蝕	t s y: s ɪ k
蛀蟲	t s y: t sʰ ʊ ŋ
蛆蟲	t s ɵy t sʰ ʊ ŋ
蛇皮	s ɛ: pʰ ei
蛇紋	s ɛ: m ɐ n
蛇膽	s ɛ: t a: m
蛇蠍	s ɛ: h i: t
蛋白	t a: n p a: k
蛋殼	t a: n h ɔ: k
蛋黃	t a: n w ɔ: ŋ
蛋糕	t a: n k ou
蛋類	t a: n l ɵy
術科	s ɵ t f ɔ:
術語	s ɵ t j y:
術數	s ɵ t s ou
袋子	t ɔ:i t s i:
袋裝	t ɔ:i t s ɔ: ŋ
袋鼠	t ɔ:i s y:
袒護	tʰ a: n w u:
袒露	tʰ a: n l ou
袖口	t s ɐu h ɐu
袖子	t s ɐu t s i:
袖珍	t s ɐu t s ɐ n
袪除	tʰ ɵy t sʰ ɵy
被子	p ei t s i:
被囚	p ei t sʰ ɐu
被劫	p ei k i: p
被告	p ei k ou
被困	p ei kʰ w ɐ n
被俘	p ei f u:
被迫	p ei p a: k
被套	p ei tʰ ou
被害	p ei h ɔ:i
被捕	p ei p ou
被動	p ei t ʊ ŋ
被單	p ei t a: n
被窩	pʰ ei w ɔ:
被褥	pʰ ei j ʊ k
規定	kʰ w ɐi t ɪ ŋ
規則	kʰ w ɐi t s ɐ k
規律	kʰ w ɐi l ɵ t
規約	kʰ w ɐi j œ: k
規格	kʰ w ɐi k a: k
規矩	kʰ w ɐi k ɵy
規條	kʰ w ɐi tʰ i:u
規章	kʰ w ɐi t s œ: ŋ
規程	kʰ w ɐi t sʰ ɪ ŋ
規劃	kʰ w ɐi w a: k
規模	kʰ w ɐi m ou
規範	kʰ w ɐi f a: n
規勸	kʰ w ɐi h y: n
覓求	m ɪ k kʰ ɐu
覓取	m ɪ k t sʰ ɵy
覓食	m ɪ k s ɪ k
覓得	m ɪ k t ɐ k
訛傳	ŋ ɔ: t sʰ y: n
訛奪	ŋ ɔ: t y: t
訛騙	ŋ ɔ: pʰ i: n
訟事	t s ʊ ŋ s i:
訟案	t s ʊ ŋ ɔ: n
訟詞	t s ʊ ŋ t sʰ i:
訟費	t s ʊ ŋ f ɐi
訣別	kʰ y: t p i: t
訪友	f ɔ: ŋ j ɐu
訪客	f ɔ: ŋ h a: k
訪查	f ɔ: ŋ t sʰ a:
訪問	f ɔ: ŋ m ɐ n
訪尋	f ɔ: ŋ t sʰ ɐ m
訪察	f ɔ: ŋ t sʰ a: t
設下	t sʰ i: t h a:
設立	t sʰ i: t l a: p
設伏	t sʰ i: t f ʊ k
設局	t sʰ i: t k ʊ k
設防	t sʰ i: t f ɔ: ŋ
設定	t sʰ i: tt ɪ ŋ
設法	t sʰ i: t f a: t
設施	t sʰ i: t s i:
設計	t sʰ i: t k ɐi
設限	t sʰ i: t h a: n
設宴	t sʰ i: t j i: n
設問	t sʰ i: t m ɐ n
設備	t sʰ i: t p ei
設想	t sʰ i: t s œ: ŋ
設置	t sʰ i: tt s i:
設廠	t sʰ i: tt sʰ ɔ: ŋ
許下	h ɵy h a:
許久	h ɵy k ɐu
許可	h ɵy h ɔ:
許多	h ɵy t ɔ:
許配	h ɵy pʰ u:i
許諾	h ɵy l ɔ: k
許願	h ɵy j y: n
豉油	s i: j ɐu
豉椒	s i: t s i:u
貧乏	pʰ ɐ n f ɐ t
貧民	pʰ ɐ n m ɐ n
貧血	pʰ ɐ n h y: t
貧困	pʰ ɐ n kʰ w ɐ n
貧苦	pʰ ɐ n f u:
貧弱	pʰ ɐ n j œ: k
貧農	pʰ ɐ n l ʊ ŋ
貧農	pʰ ɐ nn ʊ ŋ
貧道	pʰ ɐ n t ou
貧僧	pʰ ɐ n t s ɐ ŋ
貧瘠	pʰ ɐ n t s ɪ k
貧窮	pʰ ɐ n kʰ ʊ ŋ
貧賤	pʰ ɐ n t s i: n
貨主	f ɔ: t s y:
貨色	f ɔ: s ɪ k
貨車	f ɔ: t sʰ ɛ:
貨物	f ɔ: m ɐ t
貨品	f ɔ: p ɐ n
貨倉	f ɔ: t sʰ ɔ: ŋ
貨船	f ɔ: s y: n
貨單	f ɔ: t a: n
貨場	f ɔ: t sʰ œ: ŋ
貨款	f ɔ: f u: n
貨源	f ɔ: j y: n
貨運	f ɔ: w ɐ n
貨幣	f ɔ: p ɐi
貨價	f ɔ: k a:
貨輪	f ɔ: l ɵ n
貨艙	f ɔ: t sʰ ɔ: ŋ
貨櫃	f ɔ: k w ɐi
貨攤	f ɔ: tʰ a: n
販毒	f a: n t ʊ k
販運	f a: n w ɐ n
販賣	f a: n m a:i
貪心	tʰ a: m s ɐ m
貪吃	tʰ a: m h ɛ: k
貪污	tʰ a: m w u:
貪求	tʰ a: m kʰ ɐu
貪玩	tʰ a: m w a: n
貪財	tʰ a: m t sʰ ɔ:i
貪婪	tʰ a: m l a: m
貪賄	tʰ a: m w u:i
貪圖	tʰ a: m tʰ ou
貪睡	tʰ a: m s ɵy
貪慾	tʰ a: m j ʊ k
貪錢	tʰ a: m t sʰ i: n
貪贓	tʰ a: m t s ɔ: ŋ
貪戀	tʰ a: m l y: n
貫注	k u: n t s y:
貫穿	k u: n t sʰ y: n
貫通	k u: n tʰ ʊ ŋ
貫徹	k u: n t sʰ i: t
責任	t s a: k j ɐ m
責怪	t s a: kk w a:i
責問	t s a: k m ɐ n
責備	t s a: k p ei
責罰	t s a: k f ɐ t
責罵	t s a: k m a:
責難	t s a: k l a: n
責難	t s a: k n a: n
赦免	s ɛ: m i: n
赦罪	s ɛ: t s ɵy
趾甲	t s i: k a: p
軚盤	tʰ a:i pʰ u: n
軟化	j y: n f a:
軟木	j y: n m ʊ k
軟件	j y: n k i: n
軟床	j y: n t sʰ ɔ: ŋ
軟性	j y: n s ɪ ŋ
軟弱	j y: n j œ: k
軟骨	j y: n k w ɐ t
軟禁	j y: n k ɐ m
軟墊	j y: n t i: n
軟管	j y: n k u: n
軟膏	j y: n k ou
軟糖	j y: n tʰ ɔ: ŋ
軟體	j y: n tʰ ɐi
逍遙	s i:u j i:u
透支	tʰ ɐu t s i:
透光	tʰ ɐu k w ɔ: ŋ
透底	tʰ ɐu t ɐi
透明	tʰ ɐu m ɪ ŋ
透析	tʰ ɐu s ɪ k
透氣	tʰ ɐu h ei
透頂	tʰ ɐu t ɪ ŋ
透視	tʰ ɐu s i:
透過	tʰ ɐu k w ɔ:
透徹	tʰ ɐu t sʰ i: t
透澈	tʰ ɐu t sʰ i: t
透鏡	tʰ ɐu k ɛ: ŋ
透露	tʰ ɐu l ou
逐一	t s ʊ k j ɐ t
逐日	t s ʊ k j ɐ t
逐出	t s ʊ k t sʰ ɵ t
逐字	t s ʊ k t s i:
逐年	t s ʊ k n i: n
逐年	t s ʊ k l i: n
逐次	t s ʊ k t sʰ i:
逐步	t s ʊ k p ou
逐客	t s ʊ k h a: k
逐個	t s ʊ kk ɔ:
逐漸	t s ʊ k t s i: m
途中	tʰ ou t s ʊ ŋ
途徑	tʰ ou k ɪ ŋ
途經	tʰ ou k ɪ ŋ
逕自	k ɪ ŋ t s i:
逗留	t ɐu l ɐu
逗笑	t ɐu s i:u
逗號	t ɐu h ou
逗趣	t ɐu t sʰ ɵy
這些	t s ɛ: s ɛ:
這兒	t s ɛ: j i:
這時	t s ɛ: s i:
這般	t s ɛ: p u: n
這裏	t s ɛ: l ɵy
這裡	t s ɛ: l ɵy
這麼	t s ɛ: m ɔ:
這樣	t s ɛ: j œ: ŋ
這邊	t s ɛ: p i: n
通才	tʰ ʊ ŋ t sʰ ɔ:i
通天	tʰ ʊ ŋ tʰ i: n
通史	tʰ ʊ ŋ s i:
通用	tʰ ʊ ŋ j ʊ ŋ
通行	tʰ ʊ ŋ h ɐ ŋ
通告	tʰ ʊ ŋ k ou
通身	tʰ ʊ ŋ s ɐ n
通車	tʰ ʊ ŋ t sʰ ɛ:
通例	tʰ ʊ ŋ l ɐi
通往	tʰ ʊ ŋ w ɔ: ŋ
通知	tʰ ʊ ŋ t s i:
通俗	tʰ ʊ ŋ t s ʊ k
通信	tʰ ʊ ŋ s ɵ n
通姦	tʰ ʊ ŋ k a: n
通紅	tʰ ʊ ŋ h ʊ ŋ
通風	tʰ ʊ ŋ f ʊ ŋ
通宵	tʰ ʊ ŋ s i:u
通病	tʰ ʊ ŋ p ɛ: ŋ
通航	tʰ ʊ ŋ h ɔ: ŋ
通訊	tʰ ʊ ŋ s ɵ n
通商	tʰ ʊ ŋ s œ: ŋ
通婚	tʰ ʊ ŋ f ɐ n
通常	tʰ ʊ ŋ s œ: ŋ
通報	tʰ ʊ ŋ p ou
通順	tʰ ʊ ŋ s ɵ n
通牒	tʰ ʊ ŋ t i: p
通話	tʰ ʊ ŋ w a:
通過	tʰ ʊ ŋ k w ɔ:
通道	tʰ ʊ ŋ t ou
通達	tʰ ʊ ŋ t a: t
通電	tʰ ʊ ŋ t i: n
通暢	tʰ ʊ ŋ t sʰ œ: ŋ
通稱	tʰ ʊ ŋ t sʰ ɪ ŋ
通敵	tʰ ʊ ŋ t ɪ k
通緝	tʰ ʊ ŋ t sʰ ɐ p
通曉	tʰ ʊ ŋ h i:u
通融	tʰ ʊ ŋ j ʊ ŋ
通關	tʰ ʊ ŋ k w a: n
通靈	tʰ ʊ ŋ l ɪ ŋ
逛街	kʰ w a: ŋ k a:i
逛蕩	kʰ w a: ŋ t ɔ: ŋ
逝世	s ɐi s ɐi
逝去	s ɐi h ɵy
逝者	s ɐi t s ɛ:
逞強	t sʰ ɪ ŋ kʰ œ: ŋ
速成	t sʰ ʊ k s ɪ ŋ
速度	t sʰ ʊ k t ou
速食	t sʰ ʊ k s ɪ k
速效	t sʰ ʊ k h a:u
速記	t sʰ ʊ kk ei
速率	t sʰ ʊ k l ɵ t
速寫	t sʰ ʊ k s ɛ:
速讀	t sʰ ʊ k t ʊ k
造化	t s ou f a:
造反	t s ou f a: n
造出	t s ou t sʰ ɵ t
造句	t s ou k ɵy
造字	t s ou t s i:
造成	t s ou s ɪ ŋ
造作	t s ou t s ɔ: k
造形	t s ou j ɪ ŋ
造型	t s ou j ɪ ŋ
造紙	t s ou t s i:
造假	t s ou k a:
造船	t s ou s y: n
造訪	t sʰ ou f ɔ: ŋ
造就	t sʰ ou t s ɐu
造詣	t sʰ ouɐi
造詣	t sʰ ou ŋ ɐi
造價	t s ou k a:
造謠	t s ou j i:u
造孽	t s ou j i: t
逢迎	f ʊ ŋ j ɪ ŋ
連日	l i: n j ɐ t
連任	l i: n j ɐ m
連同	l i: n tʰ ʊ ŋ
連年	l i: nn i: n
連年	l i: n l i: n
連忙	l i: n m ɔ: ŋ
連成	l i: n s ɪ ŋ
連串	l i: n t sʰ y: n
連坐	l i: n t sʰ ɔ:
連夜	l i: n j ɛ:
連射	l i: n s ɛ:
連帶	l i: n t a:i
連接	l i: n t s i: p
連敗	l i: n p a:i
連累	l i: n l ɵy
連貫	l i: n k u: n
連勝	l i: n s ɪ ŋ
連結	l i: n k i: t
連載	l i: n t s ɔ:i
連綿	l i: n m i: n
連環	l i: n w a: n
連鎖	l i: n s ɔ:
連繫	l i: n h ɐi
連續	l i: n t s ʊ k
部下	p ou h a:
部分	p ou f ɐ n
部件	p ou k i: n
部份	p ou f ɐ n
部位	p ou w ɐi
部長	p ou t s œ: ŋ
部門	p ou m u: n
部首	p ou s ɐu
部族	p ou t s ʊ k
部隊	p ou t ɵy
部署	p ou t sʰ y:
部落	p ou l ɔ: k
部屬	p ou s ʊ k
都市	t ou s i:
都會	t ou w u:i
酗酒	j y: t s ɐu
野人	j ɛ: j ɐ n
野心	j ɛ: s ɐ m
野火	j ɛ: f ɔ:
野牛	j ɛ:ɐu
野牛	j ɛ: ŋ ɐu
野史	j ɛ: s i:
野外	j ɛ: ŋ ɔ:i
野外	j ɛ:ɔ:i
野生	j ɛ: s ɐ ŋ
野地	j ɛ: t ei
野兔	j ɛ: tʰ ou
野味	j ɛ: m ei
野性	j ɛ: s ɪ ŋ
野果	j ɛ: k w ɔ:
野狗	j ɛ: k ɐu
野花	j ɛ: f a:
野草	j ɛ: t sʰ ou
野馬	j ɛ: m a:
野鳥	j ɛ: n i:u
野鳥	j ɛ: l i:u
野菊	j ɛ: k ʊ k
野種	j ɛ: t s ʊ ŋ
野豬	j ɛ: t s y:
野戰	j ɛ: t s i: n
野貓	j ɛ: m a:u
野餐	j ɛ: t sʰ a: n
野營	j ɛ: j ɪ ŋ
野鴿	j ɛ: k ɐ p
野雞	j ɛ: k ɐi
野獸	j ɛ: s ɐu
野蠻	j ɛ: m a: n
釣具	t i:u k ɵy
釣竿	t i:u k ɔ: n
釣魚	t i:u j y:
釣餌	t i:u l ei
閉上	p ɐi s œ: ŋ
閉目	p ɐi m ʊ k
閉門	p ɐi m u: n
閉氣	p ɐi h ei
閉起	p ɐi h ei
閉塞	p ɐi s ɐ k
閉幕	p ɐi m ɔ: k
閉嘴	p ɐi t s ɵy
閉關	p ɐi k w a: n
陪同	pʰ u:i tʰ ʊ ŋ
陪伴	pʰ u:i p u: n
陪客	pʰ u:i h a: k
陪笑	pʰ u:i s i:u
陪送	pʰ u:i s ʊ ŋ
陪葬	pʰ u:i t s ɔ: ŋ
陪審	pʰ u:i s ɐ m
陪襯	pʰ u:i t sʰ ɐ n
陪讀	pʰ u:i t ʊ k
陰天	j ɐ m tʰ i: n
陰毛	j ɐ mm ou
陰功	j ɐ m k ʊ ŋ
陰平	j ɐ m pʰ ɪ ŋ
陰宅	j ɐ m t s a: k
陰冷	j ɐ m l a: ŋ
陰沈	j ɐ m s ɐ m
陰性	j ɐ m s ɪ ŋ
陰毒	j ɐ m t ʊ k
陰唇	j ɐ m t sʰ ɵ n
陰氣	j ɐ m h ei
陰乾	j ɐ m k ɔ: n
陰涼	j ɐ m l œ: ŋ
陰莖	j ɐ m h ɐ ŋ
陰部	j ɐ m p ou
陰森	j ɐ m s ɐ m
陰間	j ɐ m k a: n
陰暗	j ɐ m ŋ ɐ m
陰暗	j ɐ m ɐ m
陰道	j ɐ m t ou
陰影	j ɐ m j ɪ ŋ
陰曆	j ɐ m l ɪ k
陰謀	j ɐ mm ɐu
陰險	j ɐ m h i: m
陰濕	j ɐ m s ɐ p
陰囊	j ɐ m n ɔ: ŋ
陰囊	j ɐ m l ɔ: ŋ
陰霾	j ɐ mm a:i
陳皮	t sʰ ɐ n pʰ ei
陳列	t sʰ ɐ n l i: t
陳年	t sʰ ɐ nn i: n
陳屍	t sʰ ɐ n s i:
陳述	t sʰ ɐ n s ɵ t
陳設	t sʰ ɐ n t sʰ i: t
陳腐	t sʰ ɐ n f u:
陳舊	t sʰ ɐ n k ɐu
陵墓	l ɪ ŋ m ou
陶土	tʰ ou tʰ ou
陶工	tʰ ou k ʊ ŋ
陶冶	tʰ ou j ɛ:
陶俑	tʰ ou j ʊ ŋ
陶瓷	tʰ ou t sʰ i:
陶醉	tʰ ou t s ɵy
陶器	tʰ ou h ei
陶藝	tʰ ouɐi
陶鑄	tʰ ou t s y:
陷入	h a: m j ɐ p
陷阱	h a: m t s ɛ: ŋ
陷於	h a: m j y:
陷害	h a: m h ɔ:i
陷落	h a: m l ɔ: k
陸地	l ʊ k t ei
陸軍	l ʊ kk w ɐ n
陸路	l ʊ k l ou
陸戰	l ʊ k t s i: n
陸續	l ʊ k t s ʊ k
雀斑	t s œ: k p a: n
雀躍	t s œ: k j œ: k
雪人	s y: t j ɐ n
雪山	s y: t s a: n
雪白	s y: t p a: k
雪地	s y: tt ei
雪花	s y: t f a:
雪亮	s y: t l œ: ŋ
雪茄	s y: t k a:
雪堆	s y: tt ɵy
雪崩	s y: t p ɐ ŋ
雪梨	s y: t l ei
雪球	s y: t kʰ ɐu
雪景	s y: t k ɪ ŋ
雪橇	s y: t h i:u
雪糕	s y: t k ou
頂多	t ɪ ŋ t ɔ:
頂尖	t ɪ ŋ t s i: m
頂住	t ɪ ŋ t s y:
頂峰	t ɪ ŋ f ʊ ŋ
頂替	t ɪ ŋ tʰ ɐi
頂罪	t ɪ ŋ t s ɵy
頂端	t ɪ ŋ t y: n
頂蓋	t ɪ ŋ k ɔ:i
頂嘴	t ɪ ŋ t s ɵy
頂撞	t ɪ ŋ t s ɔ: ŋ
頂樓	t ɪ ŋ l ɐu
頂頭	t ɪ ŋ tʰ ɐu
頂點	t ɪ ŋ t i: m
頂讓	t ɪ ŋ j œ: ŋ
頃刻	kʰ ɪ ŋ h ɐ k
魚丸	j y: j y: n
魚片	j y: pʰ i: n
魚市	j y: s i:
魚池	j y: t sʰ i:
魚肉	j y: j ʊ k
魚卵	j y: l ɵ n
魚尾	j y: m ei
魚兒	j y: j i:
魚刺	j y: t sʰ i:
魚竿	j y: k ɔ: n
魚缸	j y: k ɔ: ŋ
魚苗	j y: m i:u
魚翅	j y: t sʰ i:
魚骨	j y: k w ɐ t
魚船	j y: s y: n
魚販	j y: f a: n
魚場	j y: t sʰ œ: ŋ
魚塘	j y: tʰ ɔ: ŋ
魚群	j y: kʰ w ɐ n
魚網	j y: m ɔ: ŋ
魚餌	j y: l ei
魚餌	j y: n ei
魚膠	j y: k a:u
魚鬆	j y: s ʊ ŋ
魚類	j y: l ɵy
魚鰓	j y: s ɔ:i
魚鰭	j y: kʰ ei
魚鰾	j y: pʰ i:u
魚鱗	j y: l ɵ n
鳥兒	n i:u j i:
鳥巢	l i:u t sʰ a:u
鳥巢	n i:u t sʰ a:u
鳥蛋	n i:u t a: n
鳥蛋	l i:u t a: n
鳥窩	n i:u w ɔ:
鳥鳴	n i:u m ɪ ŋ
鳥鳴	l i:u m ɪ ŋ
鳥瞰	l i:u h ɐ m
鳥瞰	n i:u h ɐ m
鳥翼	n i:u j ɪ k
鳥類	l i:u l ɵy
鳥類	n i:u l ɵy
鳥籠	n i:u l ʊ ŋ
鳥籠	l i:u l ʊ ŋ
鹵水	l ou s ɵy
鹵味	l ou m ei
鹵莽	l ou m ɔ: ŋ
鹿肉	l ʊ k j ʊ k
鹿角	l ʊ kk ɔ: k
鹿茸	l ʊ k j ʊ ŋ
麥片	m ɐ k pʰ i: n
麥田	m ɐ k tʰ i: n
麥穗	m ɐ k s ɵy
麻木	m a: m ʊ k
麻布	m a: p ou
麻油	m a: j ɐu
麻疹	m a: t sʰ ɐ n
麻袋	m a: t ɔ:i
麻雀	m a: t s œ: k
麻黃	m a: w ɔ: ŋ
麻煩	m a: f a: n
麻痺	m a: p ei
麻醉	m a: t s ɵy
麻醬	m a: t s œ: ŋ
麻繩	m a: s ɪ ŋ
傀儡	f a:i l ɵy
傍晚	p ɔ: ŋ m a: n
傑出	k i: tt sʰ ɵ t
傑作	k i: tt s ɔ: k
傘骨	s a: n k w ɐ t
備用	p ei j ʊ ŋ
備件	p ei k i: n
備份	p ei f ɐ n
備有	p ei j ɐu
備考	p ei h a:u
備忘	p ei m ɔ: ŋ
備取	p ei t sʰ ɵy
備受	p ei s ɐu
備查	p ei t sʰ a:
備案	p ei ŋ ɔ: n
備案	p eiɔ: n
備註	p ei t s y:
備課	p ei f ɔ:
備戰	p ei t s i: n
傢伙	k a: f ɔ:
傢具	k a: k ɵy
傢俬	k a: s i:
傢俱	k a: kʰ ɵy
凱旋	h ɔ:i s y: n
剩下	t s ɪ ŋ h a:
剩菜	t s ɪ ŋ t sʰ ɔ:i
剩飯	t s ɪ ŋ f a: n
